SubOrgID	Naam	OrgID	ChangeDate	Centrum	Gebruiker
691	Kerngroep	446	2010-01-07 11:19:47	LAR	LARIHI
692	Werkgroep subtitutie	446	2010-01-07 11:51:02	LAR	LARIHI
693	Drugcoördinator	1014	2010-01-08 14:37:52	CAT	CATRUG
694	PC Arbeid	330	2010-01-08 14:54:17	CAT	CATRUG
695	Steunpunt leerrecht- en leerplichtbegeleiding	1014	2010-01-11 10:49:08	CAT	CATCHK
696	WG onderwijs	784	2010-01-12 11:36:28	NWV	NWVRDV
697	WG BJZ	453	2010-01-11 11:50:17	LAR	LAREVB
698	DrugoverlegPlatform (DOP)	1028	2010-01-11 13:38:15	NWV	NWVNVM
699	campus Patijntjesstraat	1030	2010-01-11 14:11:01	CAT	CATRUG
700	campus E. De Deynestraat Zwijnaarde	1030	2010-01-11 14:03:07	CAT	CATRUG
701	denkgroep preventie	450	2010-01-11 14:15:29	NWV	NWVRDV
702	werkgroep drugbeleid	986	2010-01-11 14:23:02	NWV	NWVRDV
703	algemene bevolking	383	2010-01-11 14:41:28	CAT	CATRUG
704	De Betsberg Oosterzele	1037	2010-01-11 15:09:47	CAT	CATRUG
705	Studentenambtenaar	1014	2010-01-11 15:15:47	CAT	CATRUG
706	DrugCoördinatieCel (DCC)	1050	2010-01-11 15:31:02	VLB	VLBRRE
707	ACV Aalst-Oudenaarde	1051	2010-01-11 15:43:09	CAT	CATRUG
708	Vormingsdienst Gent	1052	2010-01-11 15:57:02	CAT	CATRUG
709	sec. onderwijs  werkregio drugpunt	383	2010-01-11 16:06:34	CAT	CATRUG
710	ACV Gent-Eeklo	1051	2010-01-11 16:10:38	CAT	CATRUG
711	infomiddag	432	2010-01-12 09:21:14	ALT	ALTJDS
712	Verkeersweekend	488	2010-01-12 09:49:20	ALT	ALTJDS
713	SITO 5	615	2010-01-12 10:00:29	ALT	ALTJDS
714	Divisie Rehabilitatie	1055	2010-01-12 10:11:23	GEE	GEETCO
715	Jeugdcentrum	1056	2010-01-12 10:11:56	GEE	GEETCO
716	Preventieraad	1056	2010-01-12 10:12:31	GEE	GEETCO
717	Vorming Uitgaan Werkwijzer	432	2010-01-12 10:15:26	ALT	ALTJDS
718	Oudercomité	1062	2010-01-12 11:40:00	CAT	CATRUG
719	Raad Van Beheer	450	2010-01-12 11:44:02	NWV	NWVRDV
720	Algemene vergadering	1064	2010-01-12 11:49:37	NWV	NWVRDV
721	Algemene vergadering	1064	2010-01-12 11:49:40	NWV	NWVRDV
722	programmacommissie	450	2010-01-12 12:04:09	NWV	NWVRDV
723	werkgroep omgevingsanalyse	440	2010-01-12 13:55:23	NWV	NWVRDV
724	Algemene vergadering	440	2010-01-12 14:07:18	NWV	NWVRDV
725	Algemene bevolking, organisaties en instellingen	1014	2010-01-12 14:19:33	CAT	CATRUG
726	Werkgroep Casselman (rol politie en drugpreventie)	1050	2010-01-12 14:50:25	VLB	VLBRRE
727	werkgroep lesmap Speed voor beginnende leerkrachtn	1050	2010-01-12 14:51:44	VLB	VLBRRE
728	Werkgroep Drugsspel voor jongeren	1050	2010-01-12 14:51:57	VLB	VLBRRE
729	Technische Werkgroep Drugs-intersectoraal overleg	1050	2010-01-12 14:55:37	VLB	VLBRRE
731	Ecatproject	453	2010-01-12 15:49:27	NWV	NWVRDV
732	training bedrijfshulpverleners	450	2010-01-12 16:07:25	NWV	NWVRDV
733	Begeleidingscommissie alcohol en zwangerschap	588	2010-01-12 16:20:20	VAD	VADIDM
735	Werkgroep studiedag VAD	371	2010-01-12 16:29:44	VAD	VADIDM
736	Dienst Preventie en Veiligheid	1082	2010-01-13 14:53:18	PDM	PDMIDM
737	Dienst Onderwijs	1082	2010-01-13 14:53:27	PDM	PDMIDM
738	Jeugddienst	1082	2010-01-13 14:53:34	PDM	PDMIDM
739	PPM	751	2010-01-13 15:53:09	LEU	LEUMCO
740	WG Casselman	751	2010-01-13 15:53:57	LEU	LEUMCO
741	Preventie A&D	814	2010-01-13 16:10:21	LEU	LEUMCO
742	Onderwijs	756	2010-01-13 16:36:19	LEU	LEUMCO
743	PTC	1107	2010-01-14 11:40:38	PRI	PRIVDA
744	De Vest	1107	2010-01-14 11:41:27	PRI	PRIVDA
745	CAW Mozaïek preventie	1108	2010-01-14 11:44:45	PRI	PRIVDA
746	INTERN WERKGROEP MINDERHEDEN	223	2010-01-14 12:01:14	CAD	CADSTU
747	Buurtcomité vrijhei	158	2010-01-14 12:05:30	CAD	CADSTU
748	UNIE VAN TURKSE VERENIGINGEN	88	2010-01-14 13:15:58	CAD	CADSTU
749	RIMO	223	2011-01-05 17:15:38	CAD	CADSTU
750	Dienst Lokale Preventie en Veiligheid	1014	2010-01-14 15:06:34	CAT	CATCHK
751	Onderwijs	330	2010-01-14 15:10:19	CAT	CATCHK
752	Faculteit Psychologie en Pedagogische Wetenschappe	1151	2010-01-14 16:07:56	CAT	CATCHK
753	OCMW	158	2010-01-15 13:11:25	CAD	CADKBO
754	Dienst gezondheidsbevordering	1159	2010-01-15 16:18:15	CAT	CATETJ
755	WG BJZ	330	2010-01-15 16:40:22	CAT	CATETJ
756	WG Gokken en Internet	330	2010-01-15 16:52:03	CAT	CATETJ
757	TUPPERCARE	91	2010-01-18 10:53:28	CAD	CADSTU
758	ALEVIETENVERENIGING	215	2010-01-18 11:13:45	CAD	CADSTU
759	BUURTCOMITé EISDEN	158	2010-01-18 13:52:34	CAD	CADSTU
760	Gezondheid	967	2010-01-20 08:37:40	KAS	KASJVV
761	Departement SOAG	1221	2010-01-21 10:45:54	VAD	VADNDP
762	Lokaal Beleid	371	2010-01-21 12:02:03	VAD	VADKIM
763	Project Brugge	1243	2010-01-25 14:58:12	NWV	NWVRDV
764	Project Oostende	1243	2010-01-25 14:59:40	NWV	NWVRDV
765	arbeid	453	2010-01-25 15:29:03	NWV	NWVRDV
766	preventieraad	440	2010-01-25 15:47:37	NWV	NWVRDV
767	Werkgroep hulpverlening	446	2010-01-28 10:20:03	LAR	LARIHI
768	Jeugddienst	1257	2010-01-28 12:40:46	NWV	NWVNVM
769	WG onderwijs	453	2010-01-28 12:55:23	NWV	NWVNVM
770	WG ouders	453	2010-01-28 12:58:09	NWV	NWVNVM
771	Werkgroep instrumenten planmatig werken	371	2010-01-28 13:50:51	VAD	VADMAU
772	vakgroep strafrecht en criminologie	992	2010-01-28 14:48:58	VAD	VADMAU
773	vakgroep orthopedagogiek	992	2010-01-28 14:49:04	VAD	VADMAU
774	WG instrumenten voor planmatig werken	450	2010-01-28 16:04:43	NWV	NWVNVM
775	Werkgroep Middelen en werk	443	2010-01-28 16:05:09	LAR	LARIHI
776	WG Drugs in beweging	450	2010-01-28 16:07:50	NWV	NWVNVM
777	ad hoc WG gevangenis	450	2010-01-28 16:27:05	NWV	NWVNVM
778	Algemene vergadering	446	2010-01-28 16:30:43	LAR	LARIHI
779	WG onderwijs	1064	2010-01-28 16:46:43	NWV	NWVNVM
780	WG huisartsen	453	2010-01-28 16:54:43	NWV	NWVNVM
781	Arktos west-Vlaanderen	1266	2010-01-28 17:32:14	NWV	NWVNVM
782	Medische werkgroep	440	2010-01-28 17:55:38	NWV	NWVNVM
784	preventie	1269	2010-02-01 14:06:33	LAR	LARTHU
785	hulpverlening	1269	2010-02-01 14:06:42	LAR	LARTHU
786	projectvroeginterventie	680	2010-02-01 15:44:01	NWV	NWVRDV
787	Bachelor secundair onderwijs	1271	2010-02-01 16:34:41	NWV	NWVNVM
788	Jeugddienst	444	2010-02-01 17:29:09	NWV	NWVNVM
